timestamp,date,service,environment,region,metric_name,metric_value,unit,labels,source_csv
2025-02-14T06:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,105,ms,,metrics_2025-02-14.csv
2025-02-14T06:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.09,%,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,520,ms,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,2.8,%,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,380,ms,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,1.2,%,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,145,ms,,metrics_2025-02-14.csv
2025-02-14T12:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.35,%,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,485,ms,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,2.5,%,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,365,ms,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,1.1,%,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,138,ms,,metrics_2025-02-14.csv
2025-02-14T12:15:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.28,%,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,410,ms,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,2.2,%,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,340,ms,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.95,%,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,125,ms,,metrics_2025-02-14.csv
2025-02-14T12:30:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.22,%,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,355,ms,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,1.8,%,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,310,ms,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.88,%,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,118,ms,,metrics_2025-02-14.csv
2025-02-14T12:45:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.18,%,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,210,ms,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.45,%,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,245,ms,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.6,%,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,99,ms,,metrics_2025-02-14.csv
2025-02-14T13:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.12,%,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,198,ms,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.25,%,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,230,ms,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.52,%,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,92,ms,,metrics_2025-02-14.csv
2025-02-14T18:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.1,%,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,p95_latency_ms,182,ms,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,checkout-api,prod,ap-south-1,error_rate_percent,0.2,%,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,p95_latency_ms,218,ms,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,checkout-api,staging,ap-south-1,error_rate_percent,0.48,%,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,payment-service,prod,ap-south-1,p95_latency_ms,96,ms,,metrics_2025-02-14.csv
2025-02-14T23:00:00Z,2025-02-14,payment-service,prod,ap-south-1,error_rate_percent,0.11,%,,metrics_2025-02-14.csv
